stock,cluster_id,anomaly_score,sector_id,x,y
Q UN Equity,2,0.26283105362468084,7,17.697269137629235,-1.2190173034824228
AVY UN Equity,0,0.15060983430808514,8,6.444476223267585,-1.5660568643838852
ERIE UW Equity,0,0.1610077559787234,4,6.819627932723694,-2.097073649061429
APA UW Equity,0,0.2153300238519149,3,7.571967283920374,-1.4039019690144285
FAST UW Equity,1,0.12732193423425534,6,-3.415238803218154,-1.5030024141113119
FITB UW Equity,0,0.14974576941872342,4,6.419897976531637,-1.4969909419364755
SBAC UW Equity,1,0.1425729584575319,9,-3.6558550607064833,-1.420129800794421
FDS UN Equity,1,0.14304644254893617,4,-3.568623090721387,-0.9140726358648587
EFX UN Equity,1,0.13906152485106385,6,-3.652719645637638,-1.4727377747147106
CVS UN Equity,0,0.1746363361412766,5,6.7273199118840505,-1.8630381346797784
ACGL UW Equity,0,0.16912950176170213,4,6.831497256397093,-1.6781461025247388
GOOG UW Equity,3,0.3015615295242553,0,-1.6332504115748738,-11.664927633779103
BAX UN Equity,0,0.20094645425336172,5,7.365787522573133,-1.4691700366592146
DGX UN Equity,1,0.14690157194144682,5,-3.491396677026453,-1.4208441874225233
RTX UN Equity,0,0.1779109246161702,6,6.703334744094972,-1.4968170752453764
HON UW Equity,1,0.13911923325319148,6,-3.719641371035737,-1.4178761717526909
MGM UN Equity,2,0.23996523824851063,1,17.151035127081755,-1.752058339722033
CF UN Equity,1,0.13280613985361703,8,-3.482935410134154,-0.9820876185829301
D UN Equity,0,0.1596350056961702,10,6.735674822008462,-1.5578110083714187
NEE UN Equity,0,0.17347443401787233,10,7.114158423783799,-1.4854747160231128
SOLV UN Equity,3,0.3351316746331915,5,-1.565425671525336,-11.208507840395711
IBKR UW Equity,1,0.11128774705591489,4,-3.833333404564816,-0.7754888855826635
NCLH UN Equity,4,0.4890187261191489,1,0.14296210772071727,-18.54943756022624
AIG UN Equity,0,0.17880972698042555,4,6.64819105296244,-1.4974314306444365
VLO UN Equity,0,0.19560108336425533,3,6.876864516177502,-1.371130895153191
TMO UN Equity,0,0.16675951874382977,5,6.708211388898047,-1.0162329670166117
WEC UN Equity,0,0.16908318949106385,10,6.7176143946171205,-2.0006050075838178
CTVA UN Equity,0,0.1852835802348936,8,7.084571687425694,-1.392987400564507
VRSN UW Equity,1,0.13467071401148936,7,-3.7796106681665327,-1.007868307712688
CAG UN Equity,0,0.20546078371012766,2,7.206898644975912,-1.264481166180067
LNT UW Equity,0,0.15743092571029785,10,6.409357450426138,-1.209445211187497
SHW UN Equity,0,0.16202317195506385,8,6.800246001629116,-1.351256791025687
GL UN Equity,0,0.16790061475319148,4,6.696882922670115,-1.6722930284011026
NI UN Equity,0,0.1645949353106383,10,6.940608912525239,-1.1259481489390224
CAT UN Equity,0,0.1523072266774468,6,6.5286532169331135,-0.7509439034125961
HOLX UW Equity,1,0.13820216142323405,5,-3.674927650270229,-1.1110700470756836
MLM UN Equity,0,0.15310602212595745,8,6.535532309160033,-1.5410812452687699
CCL UN Equity,5,0.3947352942314894,1,8.971561709886531,-13.568910560703141
OMC UN Equity,0,0.20614242944595745,0,7.2588452105631465,-0.916493327701281
TXT UN Equity,0,0.15829352869446808,6,6.798931655774505,-1.189416073992644
MMC UN Equity,0,0.1908357803242553,4,7.087123408519382,-1.0974502917552251
WM UN Equity,0,0.15341505282936171,6,6.381370210380217,-1.3201782700600933
DAL UN Equity,0,0.17357516118297872,6,6.922706965810597,-1.1154021225591677
GEHC UW Equity,3,0.3191543870726809,5,-1.321062398713546,-10.897097566801238
JPM UN Equity,0,0.18099316541021276,4,6.76331360741262,-0.6816113678815521
KIM UN Equity,0,0.15262067858808512,9,6.66131354026731,-0.8357931431454575
SO UN Equity,0,0.16587567554910637,10,6.549082365806573,-0.5232134893759909
C UN Equity,0,0.17980377634808511,4,6.973149000689952,-0.6367728555701462
AZO UN Equity,3,0.2931500806817021,1,-1.9258170733200077,-10.253401510108011
DVA UN Equity,0,0.14837885097906384,5,6.461311401445645,-0.7961885951682681
MA UN Equity,0,0.19082752105106382,4,6.82742817734208,-0.4448110704448072
MDT UN Equity,0,0.1654712907080851,5,6.865547521828775,-0.7458808493882731
XYL UN Equity,0,0.1624155329455319,6,6.76322521833114,-0.6234665319596757
KLAC UW Equity,1,0.1468277817474553,7,-3.3866586913888144,-1.0288007162939437
TFC UN Equity,0,0.18057558138893617,4,6.822059220094885,-0.8794407516287103
SYY UN Equity,0,0.21583518911234043,2,7.495256413977563,-0.7634959963663246
COP UN Equity,0,0.19624693139659574,3,7.009583845862371,-0.9293228432422881
NDAQ UW Equity,1,0.13940175320987233,4,-3.3845075059299266,-0.5816816999510412
RF UN Equity,1,0.13560061381702126,4,-3.249895531989577,-0.4801658386424382
EL UN Equity,0,0.2165756254306383,2,7.29002747931122,-0.4824053408545982
SJM UN Equity,0,0.21035891489106381,2,7.26147216864195,-0.9992116673681205
HRL UN Equity,0,0.20953939674212765,2,7.119738416466855,-0.4838826130710814
HLT UN Equity,0,0.20616489525702128,1,7.2485774700228465,-0.7019674001378793
URI UN Equity,1,0.1344967837412766,6,-3.1237030685265696,-0.4518402989030824
BMY UN Equity,0,0.17764185259319148,5,6.803899690136417,-0.3363272994808526
HWM UN Equity,0,0.15895191504851067,6,6.629532980558293,-0.4162562627509601
KO UN Equity,2,0.23726017981787237,2,17.242809901581442,-1.8737789968580172
SPGI UN Equity,0,0.17401417894085108,4,7.050923190040821,-0.12364640760816731
